(0.000000,0.000000,1.580796,-25.9987170446,2599.87000958,2600.000000)
(-2.497917,49.916708,1.670796,-259.56603786,2587.01091455,2600.000000)
(-9.966711,99.334665,1.770796,-516.539427337,2548.17327119,2600.000000)
(-22.331755,147.760103,1.870796,-768.351725602,2483.87512282,2600.000000)
(-39.469503,194.709171,1.970796,-1012.48690741,2394.75891528,2600.000000)
(-61.208719,239.712769,2.070796,-1246.50565472,2281.71506827,2600.000000)
(-87.332193,282.321237,2.170796,-1468.06972957,2145.87307852,2600.000000)
(-117.578906,322.108844,2.270796,-1674.96533696,1988.59023431,2600.000000)
(-151.646645,358.678045,2.370796,-1865.12524437,1811.43805382,2600.000000)
(-189.195016,391.663455,2.470796,-2036.64943687,1616.18658307,2600.000000)
(-229.848847,420.735492,2.570796,-2187.82410142,1404.78671023,2600.000000)
(-273.201939,445.603680,2.670796,-2317.13875075,1179.35067294,2600.000000)
(-318.821123,466.019543,2.770796,-2423.30131563,942.130953562,2600.000000)
(-366.250586,481.779093,2.870796,-2505.2510548,695.497773127,2600.000000)
(-415.016429,492.724865,2.970796,-2562.16915355,441.915408844,2600.000000)
(-464.631399,498.747493,3.070796,-2593.48690507,183.917571874,2600.000000)
(-510.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-560.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-610.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-660.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-710.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-760.000000,500.000000,3.141593,-834.6,-0.000289113958445,834.600000)
(-810.000000,500.000000,3.141593,-1016.6,-0.000352160616049,1016.600000)
(-860.000000,500.000000,3.141593,-1198.6,-0.000415207273654,1198.600000)
(-910.000000,500.000000,3.141593,-1380.6,-0.000478253931259,1380.600000)
(-960.000000,500.000000,3.141593,-1562.6,-0.000541300588863,1562.600000)
(-1010.000000,500.000000,3.141593,-1744.6,-0.000604347246468,1744.600000)
(-1060.000000,500.000000,3.141593,-1926.6,-0.000667393904073,1926.600000)
(-1110.000000,500.000000,3.141593,-2108.6,-0.000730440561678,2108.600000)
(-1160.000000,500.000000,3.141593,-2290.6,-0.000793487219282,2290.600000)
(-1210.000000,500.000000,3.141593,-2472.6,-0.000856533876887,2472.600000)
(-1260.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1310.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1360.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1410.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1460.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1510.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1560.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1610.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1660.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1710.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1760.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1810.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1860.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1910.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-1960.000000,500.000000,3.141593,-2600.0,-0.00090066653721,2600.000000)
(-2010.000000,500.000000,3.141593,-2593.5,-0.000898414870867,2593.500000)
(-2060.000000,500.000000,3.141593,-2528.5,-0.000875898207437,2528.500000)
(-2110.000000,500.000000,3.141593,-2463.5,-0.000853381544007,2463.500000)
(-2160.000000,500.000000,3.141593,-2398.5,-0.000830864880577,2398.500000)
(-2210.000000,500.000000,3.141593,-2333.5,-0.000808348217146,2333.500000)
(-2260.000000,500.000000,3.141593,-2268.5,-0.000785831553716,2268.500000)
(-2310.000000,500.000000,3.141593,-2203.5,-0.000763314890286,2203.500000)
(-2360.000000,500.000000,3.141593,-2138.5,-0.000740798226856,2138.500000)
(-2410.000000,500.000000,3.141593,-2073.5,-0.000718281563425,2073.500000)
(-2460.000000,500.000000,3.141593,-2008.5,-0.000695764899995,2008.500000)
(-2510.000000,500.000000,3.141593,-1943.5,-0.000673248236565,1943.500000)
(-2560.000000,500.000000,3.141593,-1878.5,-0.000650731573135,1878.500000)
(-2610.000000,500.000000,3.141593,-1813.5,-0.000628214909704,1813.500000)
(-2660.000000,500.000000,3.141593,-1748.5,-0.000605698246274,1748.500000)
(-2710.000000,500.000000,3.141593,-1683.5,-0.000583181582844,1683.500000)
(-2760.000000,500.000000,3.141593,-1618.5,-0.000560664919413,1618.500000)
(-2810.000000,500.000000,3.141593,-1553.5,-0.000538148255983,1553.500000)
(-2860.000000,500.000000,3.141593,-1488.5,-0.000515631592553,1488.500000)
(-2910.000000,500.000000,3.141593,-1423.5,-0.000493114929123,1423.500000)
(-2960.000000,500.000000,3.141593,-1358.5,-0.000470598265692,1358.500000)
(-3010.000000,500.000000,3.141593,-1293.5,-0.000448081602262,1293.500000)
(-3060.000000,500.000000,3.141593,-1228.5,-0.000425564938832,1228.500000)
(-3110.000000,500.000000,3.141593,-1163.5,-0.000403048275402,1163.500000)
(-3160.000000,500.000000,3.141593,-1098.5,-0.000380531611971,1098.500000)
(-3210.000000,500.000000,3.141593,-1033.5,-0.000358014948541,1033.500000)
